,Np,Nt,Kp,Kt,lp,Rg,E2E,zd,lb,sd_lp,sd_Rg,sd_zd
177,32.0,128.0,0.25,4.0,1.1639408116057688,3.714809205569116,9.893041828658193,61.88945245454545,0.9515955721080415,0.09011040390589414,0.45155392192728416,4.334783424258774
178,32.0,128.0,0.25,16.0,0.9895338363083023,3.420356756951283,8.319028354788449,82.95741818181818,0.9574102607953051,0.07253225490886867,0.22257339373336185,3.525616692107839
179,32.0,128.0,0.25,64.0,1.200393383387953,3.623339489644249,7.92380942613338,101.49986363636363,0.9599318428079151,0.09042358210983793,0.2234573903706689,3.547655933474109
180,32.0,128.0,1.0,0.25,1.4488920746119838,3.8748462006812603,9.78848247393669,47.70273636363636,0.9558814588168876,0.0757804002235928,0.27845959851623203,4.488846338987482
181,32.0,128.0,1.0,1.0,1.4039003923452038,3.9989170919130514,10.114089306818464,50.22542545454546,0.9525113259118628,0.0855542468459924,0.17653779051330462,6.565221878970711
182,32.0,128.0,1.0,4.0,1.1356963577687598,3.6992560661147063,9.287378248197724,53.36738118181818,0.9558500907135786,0.08834907002257959,0.35420569751251335,8.099545297783832
183,32.0,128.0,1.0,16.0,1.121726359645148,3.3875489582933014,9.255756271888039,80.65698818181816,0.9545993706164868,0.05973099725599165,0.1222457632116747,6.440711881936963
184,32.0,128.0,1.0,64.0,1.2016561470884126,3.7474737143202193,9.66875779504954,105.68463636363636,0.9559742607633106,0.09977905537032232,0.24293389801774054,2.8616259844782888
185,32.0,128.0,4.0,0.25,1.77352081763077,4.035155452813229,9.656726820029531,42.00634909090909,0.9562495137868906,0.04177052789157479,0.4991584096050165,7.277914532332426
186,32.0,128.0,4.0,1.0,2.2561356773774803,4.193530066313398,8.796318290213664,52.572751818181814,0.9532235424928543,0.1608202595730891,0.1739292174552611,4.571374708837232
187,32.0,128.0,4.0,4.0,2.289901892417365,4.616361669360376,12.341700605236081,59.76301181818182,0.952274394294029,0.13249503881437633,0.6288050337551145,6.6189601783318
188,32.0,128.0,4.0,16.0,1.66229253292185,3.793479371717132,10.084675730935935,87.88707272727272,0.950618196757808,0.06441714836484795,0.3160417907365185,2.769123147755987
189,32.0,128.0,4.0,64.0,1.9642423034872416,3.93340872301832,9.248245456735036,100.9252,0.9538795000477802,0.08851310210093044,0.5230002088218422,4.053353416841196
190,32.0,128.0,16.0,0.25,7.757901281081984,6.461400822278692,18.236054710316438,49.473590909090916,0.9532598134644359,0.08506859294540384,0.42188522120256666,6.429735011670323
191,32.0,128.0,16.0,1.0,6.3559904350476915,6.127014745979077,15.621658692844507,55.70294361818182,0.9553594660066358,0.21642947327042067,1.0243275543466521,5.0329413780534145
192,32.0,128.0,16.0,4.0,7.705090020932189,6.42636460056705,18.66583818808714,61.625413090909085,0.9572979418741256,0.24504781444899412,0.6670483968563444,6.139097994913975
193,32.0,128.0,16.0,16.0,5.805603217252193,5.686572514414805,15.624356677470773,87.87383636363637,0.9524313590257639,0.07104561965969687,0.7974041781085507,3.475699970384706
194,32.0,128.0,16.0,64.0,3.9496421272925675,4.941369353519224,12.46712375056258,103.87624545454545,0.956180401139203,0.22568668781109633,0.3918533609974863,3.937975899867071
195,32.0,128.0,64.0,0.25,31.360044628039024,8.03180966856097,25.442696401893205,46.90323363636364,0.9549766699582454,0.15714570380848164,0.13955003021644585,6.200186248364235
196,32.0,128.0,64.0,1.0,31.24532143937404,8.023289037562327,25.44580471852487,51.16201727272726,0.9541906840605844,0.27655986645342456,0.153790467984336,6.408110766417382
197,32.0,128.0,64.0,4.0,25.272853652479746,7.865548865891909,24.346271898962115,64.84454904545454,0.955085082236869,0.4583725906672246,0.4326555858893564,4.251977854724606
198,32.0,128.0,64.0,16.0,29.19728049365243,7.954321784511628,25.26260731380358,76.65745181818181,0.9531520408937443,0.5682666618527029,0.23317545989208835,3.8515514818950036
199,32.0,128.0,64.0,64.0,11.322375029961318,6.88481247234821,19.518118510351393,106.24221818181819,0.9532858471300354,0.7021545794316311,0.5462717681482407,2.4205546519973016
200,64.0,8.0,0.25,0.25,1.2203419036624852,5.671323535114088,13.911056039028947,6.799236363636365,0.9542661428606469,0.05628332353585243,1.059309081788769,1.2338542674169994
201,64.0,8.0,0.25,1.0,1.0736285009125104,4.983074644831229,11.474731060519305,6.837227272727272,0.9522581941582982,0.03972777909256978,0.11597276634740043,1.1443388580239124
202,64.0,8.0,0.25,4.0,1.2765165791264155,5.455254509268336,12.24364960758816,7.701572727272727,0.9553795793322422,0.06677871077998869,0.5326867482482224,1.4927283794149366
203,64.0,8.0,0.25,16.0,1.0633163308231175,4.948375363826376,12.257847900135205,7.3792909090909085,0.9521037300664448,0.04591871332718285,0.7250456690445946,1.1562258189743082
204,64.0,8.0,0.25,64.0,1.0299792172672886,5.8020740595216544,14.869926359650417,8.785418181818182,0.9585921508044787,0.06477278115315538,1.4260298400941271,1.2368907593552927
205,64.0,8.0,1.0,0.25,1.215352532392438,5.054620735318575,11.48228587279109,6.6396999999999995,0.9523498051642468,0.0365354349017399,0.523560212602124,0.9634955658717613
206,64.0,8.0,1.0,1.0,1.2617203493183125,5.520479275236453,12.010594490681347,6.341281818181818,0.9570775673923196,0.06028391851579589,1.7469197725378485,1.8759356699661212
207,64.0,8.0,1.0,4.0,1.2749754690617636,5.367307462122277,12.304439739330878,7.548290909090909,0.956649386039524,0.06096300664086375,0.6715272781330678,1.4534239608308914
208,64.0,8.0,1.0,16.0,1.1838593073897896,5.236929835185773,12.695084993282817,7.980581818181818,0.956793068090272,0.03779605339481149,0.6714501071159384,1.0392958987333527
209,64.0,8.0,1.0,64.0,1.218966578827111,5.689482087325842,13.328583539651255,9.007936363636363,0.9556421650615797,0.053349534308239556,0.5461252258598808,1.3198229194394553
210,64.0,8.0,4.0,0.25,2.1427188457885897,5.779873703479192,12.158905112666087,7.555627272727273,0.9545746714688574,0.08441357362999359,0.7607246495949941,1.389174492011784
211,64.0,8.0,4.0,1.0,2.1761581476301597,6.1762032914663,15.074208198144817,7.453900000000002,0.9535918560525247,0.054245734619445936,1.5839126707328517,2.1666294531536137
212,64.0,8.0,4.0,4.0,2.0753246018980835,6.511155534958038,17.86803880558726,8.42541818181818,0.954387068364225,0.07429360501114958,1.1080015223428956,1.1105445395007238
213,64.0,8.0,4.0,16.0,1.9350888898508205,6.243934017978529,15.17066555583943,8.825536363636363,0.9544147694402546,0.048740848529099906,0.9162164212949837,1.755794056194688
214,64.0,8.0,4.0,64.0,2.125796740844538,5.9588651031000675,15.64408263599663,9.833672727272727,0.953451343208747,0.06581679605705883,1.0961901470537907,2.3483146881776182
215,64.0,8.0,16.0,0.25,6.558070121526881,9.017810153931805,20.492737093566898,8.387263636363635,0.9534512444897518,0.30930154762605,1.4628451292093574,2.3877518845797288
216,64.0,8.0,16.0,1.0,6.801904432600337,9.554238840897755,27.39310809764868,8.187881818181816,0.9548847101784921,0.23177235841369467,9.176238021039483,1.4897772553568245
